Currency Portfolio,SD_A,SD_B,Correl,Weight_A,Weight_B,SD_Portfolio
"CHFJPY, GBPCHF",0.003393,0.004237,-0.043680628,0.604206472,0.394793528,0.002588682
"CHFJPY, GBPJPY",0.003393,0.00406,0.595664004,0.713815608,0.285184398,0.003247677
"CHFJPY, GBPNZD",0.003393,0.004603,0.465023618,0.765410329,0.233589671,0.003240019
"CHFJPY, GBPUSD",0.003393,0.004111,0.529418445,0.696685715,0.302314286,0.003200481
"CHFJPY, NZDCAD",0.003393,0.004553,-0.458409049,0.598704393,0.400295607,0.002013434
"CHFJPY, NZDCHF",0.003393,0.005457,0.378726824,0.834111152,0.164888848,0.003278448
"CHFJPY, NZDJPY",0.003393,0.005916,-0.505203238,0.675135902,0.323864098,0.002117492
"CHFJPY, NZDUSD",0.003393,0.006347,0.199036811,0.831969242,0.167030761,0.003206837
"CHFJPY, USDCAD",0.003393,0.004198,0.074423444,0.612486011,0.386513989,0.002730104
"CHFJPY, USDCHF",0.003393,0.004141,-0.457890787,0.567283257,0.431716743,0.00193639
"CHFJPY, USDJPY",0.003393,0.003077,0.636628493,0.366631211,0.632368789,0.002900962
"EURAUD, AUDCAD",0.004359,0.004195,0.240716041,0.474292628,0.524707372,0.00336307
"EURAUD, AUDCHF",0.004359,0.005417,0.343013397,0.66035478,0.338645222,0.003908115
"EURAUD, AUDJPY",0.004359,0.005327,0.524916657,0.703119828,0.295880173,0.004116959
"EURAUD, AUDNZD",0.004359,0.0025,-0.777895968,0.348587586,0.650412414,0.001053031
"EURAUD, AUDUSD",0.004359,0.006053,-0.731249528,0.592997135,0.406002865,0.001852201
"EURAUD, CADCHF",0.004359,0.004899,-0.652921798,0.534729912,0.464270089,0.001919182
"EURAUD, CADJPY",0.004359,0.004427,-0.602317409,0.504336481,0.494663519,0.001956819
"EURAUD, CHFJPY",0.004359,0.003393,-0.109774676,0.388700821,0.610299179,0.002527547
"EURAUD, EURCAD",0.004359,0.004051,0.055824636,0.460786219,0.538213781,0.003045819
"EURAUD, EURCHF",0.004359,0.002433,0.19838847,0.183986599,0.815013402,0.002281709
"EURAUD, EURGBP",0.004359,0.003356,0.417874879,0.285230814,0.713769186,0.003126166
"EURAUD, EURJPY",0.004359,0.003214,0.83418639,0.10000019,0.899004292,0.003261892
"EURAUD, EURNZD",0.004359,0.004539,-0.189716011,0.516513958,0.482486042,0.002827439
"EURAUD, GBPAUD",0.004359,0.004151,-0.147962596,0.478235924,0.520764076,0.002772194
"EURAUD, GBPCAD",0.004359,0.004095,-0.652004216,0.480601814,0.518398186,0.001759549
"EURAUD, GBPCHF",0.004359,0.004237,0.442541449,0.474031963,0.524968046,0.003644856
"EURAUD, GBPJPY",0.004359,0.00406,-0.607811171,0.477433124,0.521566876,0.001859575
"EURAUD, GBPNZD",0.004359,0.004603,-0.472849073,0.517973749,0.481026252,0.002296219
"EURAUD, GBPUSD",0.004359,0.004111,-0.417456747,0.478886082,0.520113918,0.002280967
"EURAUD, NZDCAD",0.004359,0.004553,0.707191217,0.573578941,0.425421061,0.004105176
"EURAUD, NZDCHF",0.004359,0.005457,-0.318918139,0.583683297,0.415316703,0.002816358
"EURAUD, NZDJPY",0.004359,0.005916,-0.381775997,0.607944792,0.391055208,0.002773749
"EURAUD, NZDUSD",0.004359,0.006347,-0.149880213,0.65682666,0.34217334,0.003324165
"EURAUD, USDCAD",0.004359,0.004198,0.102634909,0.478564974,0.520435026,0.003171828
"EURAUD, USDCHF",0.004359,0.004141,0.521551461,0.446020987,0.552979013,0.003696947
"EURAUD, USDJPY",0.004359,0.003077,-0.4625917,0.383192217,0.615807783,0.001858014
"EURCAD, AUDCAD",0.004051,0.004195,0.339497007,0.525918736,0.473081264,0.003368744
"EURCAD, AUDCHF",0.004051,0.005417,-0.048455967,0.634413061,0.364586939,0.003164418
"EURCAD, AUDJPY",0.004051,0.005327,-0.35652654,0.598816051,0.400183949,0.002596462
"EURCAD, AUDNZD",0.004051,0.0025,0.404413339,0.148765054,0.850234946,0.00243257
"EURCAD, AUDUSD",0.004051,0.006053,0.625796083,0.89899985,0.100000175,0.004048268
"EURCAD, CADCHF",0.004051,0.004899,0.432297443,0.662552142,0.336447858,0.003707493
"EURCAD, CADJPY",0.004051,0.004427,0.232263966,0.557027295,0.441972705,0.003312274
"EURCAD, CHFJPY",0.004051,0.003393,0.728361594,0.189930571,0.809069454,0.003347356
"EURCAD, EURCHF",0.004051,0.002433,0.644644844,0.100000637,0.898999371,0.002467921
"EURCAD, EURGBP",0.004051,0.003356,0.37691458,0.35193452,0.64706548,0.003013642
"EURCAD, EURJPY",0.004051,0.003214,0.135815553,0.368570655,0.630429346,0.00267517
"EURCAD, EURNZD",0.004051,0.004539,0.352938174,0.586599247,0.412400753,0.003505809
"EURCAD, GBPAUD",0.004051,0.004151,0.276755759,0.516335653,0.482664347,0.003272447
"EURCAD, GBPCAD",0.004051,0.004095,0.394969127,0.508359024,0.490640977,0.003397973
"EURCAD, GBPCHF",0.004051,0.004237,-0.066605226,0.520478309,0.478521695,0.002826106
